致	bewirken		Übereinstimmung	w
仰	bewundern		Glaube	w
慕	bewundern		beneiden	w
賞	bewundern		Auszeichnung	w
溉	bewässern		Bewässerungssystem	w
沃	bewässern		fruchtbar	a
陰	bewölkt			
付	bezahlen			
稱	bezeichnen			
蜂	Biene			
啤	Bier			
予	bieten			
畫	Bild			
賤	billig		(herablassend!)	d
廉	billig		günstig	w
束	binden			
傳	Biographie			
梨	Birne			
至	bis			
儘	bis aufs äußerste			
迄	bis jetzt			
請	bitte			
苦	bitter			
吹	blasen			
葉	Blatt			
藍	blau			
鉛	Blei			
留	bleiben			
矚	Blick			
盲	blind		planlos	w
瞎	blind		Blindschleiche	f
瞥	blinzeln			
閃	Blitz			
滯	blockieren		stagnieren	w
阻	blockieren		verhindern	w
僅	bloß			
泡	blubbern			
花	Blume		Blüte	a
朵	Blume		Ohr	w
血	Blut			
翠	bläulich grün			
地	Boden			
弓	Bogen			
豆	Bohne			
鑽	bohren			
舟	Boot		normal	d
艘	Boot		ZEW	d
艇	Boot		Marineschiff	w
闆	Boss			
閨	Boudoir			
業	Branche			
燒	braten		Fieber haben	w
炒	braten		gebratener Reis	w
煎	braten		abkochen	a
需	brauchen			
釀	brauen		Bier	d
棕	braun			
乖	brav			
折	brechen			
緯	Breitengrad			
剎	bremsen			
柴	Brennholz			
薪	Brennmaterial			
鴻	Brief		Gans	a
札	Brief		formell	d
函	Briefumschlag			
團	Brigade			
煌	brillant			
錦	Brokat			
井	Brunnen			
胸	Brust		Ab	p
膛	Brust		aB	p
暴	brutal			
橋	Brücke			
沏	brühen			
吼	brüllen			
書	Buch			
訂	buchen			
頁	Buchseite			
灣	Bucht		Taiwan	n
澳	Bucht		Australien	n
佛	Buddha			
尼	Buddhistische Nonne			
廟	buddhistischer tempel			
咣	Bumm!			
遛	bummeln			
州	Bundesland			
彩	bunt			
乳	Busen			
熊	Bär			
凶	böse			
躬	bücken			
熨	bügeln			
局	Büro			
僚	Bürokrat			
刷	bürsten			
蔡	Cai			
鈣	Calcium			
蘑	Champignon		Ab	p
菇	Champignon		aB	p
蜴	Chamäleon			
亂	Chaos			
芝	Chicago			
華	China			
鸝	chinesischer Pirol			
菊	Chrysantheme			
聰	clever			
丑	Clown			
膏	Creme			
喱	Curry			
茅	Dachstroh			
簷	Dachvorsprung			
汽	Dampf			
饅	Dampfbrötchen			
籠	Dampfkorb			
謝	danken			
申	darlegen			
腸	Darm			
那	das			
元	das Erste			
棗	Datteln			
拇	Daumen			
辯	debattieren			
蓋	Deckel			
疵	Defekt			
虧	Defizit			
貶	degradieren			
塘	Deich		Teich	w
堤	Deich		gegen Flut	d
壩	Deich		von Reservoir	d
轅	Deichsel			
旬	Dekade			
闢	dementieren		einschneidend	a
迪	den rechten Weg weisen			
鄧	Deng			
惟	Denken			
碑	Denkmal			
然	dennoch			
乙	der Zweite			
其	derart			
殃	Desaster		Pech haben	w
禍	Desaster		Autounfall	w
詳	detailliert			
昭	deutlich			
臘	Dezember			
密	dicht			
厚	dick		Brett	f
胖	dick		fett	a
賊	Dieb			
為	dienen als			
傭	Diener			
僕	Dienstmädchen			
斯	dies			
這	dieser			
物	Ding			
議	diskutieren			
紀	Disziplin			
懲	disziplinieren			
芹	Doldengewächs			
馴	domestizieren			
雷	Donner			
霹	Donnerschlag		Ab	p
靂	Donnerschlag		aB	p
兼	doppelt			
村	Dorf		Land	w
莊	Dorf		seriös	w
刺	Dorn		verspotten	w
棘	Dorn		störrisch	w
罐	Dose			
龍	Drache			
劇	Drama			
踐	drauftreten			
污	Dreck		Korruption	w
穢	Dreck		schamlos	w
髒	dreckig			
扭	drehen		ungeschickt	w
滾	drehen		rollen	a
旋	drehen		Melodie	w
絞	drehen		zusammen-	d
三	drei			
卅	dreißig			
訓	dressieren			
漂	driften			
急	dringend			
丙	dritter Himmelsstamm			
版	Druckplatte			
闖	drängeln			
催	drängen		vorantreiben	a
勸	drängen		Ermahnung	w
促	drängen		anspornen	w
壓	drücken			
你	du		normal	d
妳	du		weiblich	d
香	Duft		Banane	w
芬	Duft		Beethoven	n
薰	duften			
